size,time,path,cost
4,0.0017,"[0, 15, 6, 1, 14, 13, 4, 3, 11, 2, 12, 7, 8, 5, 10, 9, 0]",4348.5765
4,0.0014,"[0, 12, 13, 5, 11, 8, 2, 4, 3, 15, 9, 6, 1, 10, 14, 7, 0]",4373.785
4,0.0011,"[0, 1, 10, 5, 2, 15, 6, 7, 13, 9, 12, 14, 11, 3, 4, 8, 0]",4707.9197
4,0.0015,"[0, 1, 8, 9, 12, 10, 7, 3, 13, 6, 11, 14, 5, 4, 2, 15, 0]",2836.1406
4,0.0009,"[0, 13, 1, 15, 9, 11, 6, 10, 3, 8, 4, 12, 14, 5, 7, 2, 0]",3634.0917
4,0.0012,"[0, 12, 4, 13, 7, 14, 6, 9, 15, 2, 3, 10, 11, 1, 5, 8, 0]",4662.2915
4,0.001,"[0, 11, 6, 2, 4, 14, 10, 5, 3, 7, 1, 12, 15, 13, 9, 8, 0]",4133.7525
4,0.001,"[0, 8, 14, 3, 10, 12, 7, 6, 9, 11, 2, 4, 13, 1, 5, 15, 0]",3535.9359
4,0.001,"[0, 4, 5, 11, 14, 15, 1, 7, 10, 6, 12, 13, 3, 9, 2, 8, 0]",3909.3002
4,0.0009,"[0, 14, 7, 8, 11, 13, 15, 5, 10, 1, 2, 3, 6, 12, 9, 4, 0]",4222.5502
4,0.0009,"[0, 15, 7, 8, 9, 3, 12, 11, 5, 1, 10, 4, 2, 6, 14, 13, 0]",3805.451
4,0.001,"[0, 13, 8, 9, 11, 10, 1, 15, 4, 14, 6, 7, 5, 2, 3, 12, 0]",4539.3581
4,0.001,"[0, 1, 3, 11, 15, 7, 9, 5, 10, 14, 12, 13, 6, 2, 8, 4, 0]",3773.9521
4,0.0009,"[0, 12, 15, 2, 10, 4, 1, 6, 5, 11, 14, 13, 9, 7, 3, 8, 0]",4292.293
4,0.0009,"[0, 6, 5, 7, 2, 9, 1, 15, 10, 3, 8, 11, 12, 13, 14, 4, 0]",3980.8898
4,0.0011,"[0, 3, 4, 2, 1, 6, 13, 9, 12, 15, 11, 7, 8, 5, 14, 10, 0]",4364.6274
4,0.001,"[0, 13, 10, 6, 8, 2, 1, 7, 4, 5, 12, 3, 14, 15, 11, 9, 0]",4516.412
4,0.0009,"[0, 3, 12, 9, 8, 10, 2, 5, 6, 11, 4, 1, 13, 14, 15, 7, 0]",4471.4405
4,0.0019,"[0, 15, 5, 2, 8, 9, 10, 11, 14, 12, 1, 6, 13, 7, 4, 3, 0]",4511.08
4,0.0017,"[0, 14, 2, 3, 7, 6, 15, 11, 13, 8, 12, 5, 10, 1, 4, 9, 0]",4466.802
4,0.0013,"[0, 12, 2, 13, 9, 1, 6, 7, 10, 4, 3, 15, 11, 8, 14, 5, 0]",4401.2951
4,0.0009,"[0, 1, 14, 5, 13, 11, 15, 2, 3, 4, 8, 7, 9, 6, 10, 12, 0]",4684.1431
4,0.0009,"[0, 12, 2, 4, 13, 3, 15, 11, 6, 1, 8, 5, 14, 9, 7, 10, 0]",4050.3921
4,0.0298,"[0, 5, 4, 2, 9, 12, 15, 14, 8, 11, 7, 1, 6, 10, 13, 3, 0]",3362.7859
4,0.001,"[0, 2, 15, 5, 12, 13, 9, 3, 8, 4, 1, 7, 14, 10, 11, 6, 0]",3964.8252
4,0.0009,"[0, 7, 14, 9, 12, 5, 15, 6, 11, 10, 1, 13, 3, 2, 8, 4, 0]",4569.266
4,0.0014,"[0, 10, 6, 15, 14, 9, 2, 12, 8, 3, 13, 4, 7, 11, 5, 1, 0]",4196.2608
4,0.001,"[0, 15, 12, 9, 11, 14, 6, 7, 10, 2, 13, 4, 5, 1, 8, 3, 0]",4937.9174
4,0.001,"[0, 3, 2, 13, 10, 1, 8, 5, 7, 15, 14, 9, 6, 11, 12, 4, 0]",4190.1303
4,0.0014,"[0, 4, 2, 8, 6, 15, 5, 10, 9, 11, 12, 13, 1, 3, 7, 14, 0]",3619.3868
4,0.0011,"[0, 9, 12, 13, 4, 14, 6, 2, 15, 3, 10, 1, 8, 7, 11, 5, 0]",3913.7181
4,0.0011,"[0, 5, 3, 13, 15, 4, 1, 7, 11, 9, 10, 8, 6, 2, 14, 12, 0]",4783.0199
4,0.0014,"[0, 9, 5, 4, 15, 6, 10, 11, 8, 12, 2, 3, 13, 14, 1, 7, 0]",3431.6824
4,0.001,"[0, 8, 5, 10, 2, 1, 14, 9, 13, 4, 6, 11, 15, 12, 7, 3, 0]",4068.9535
4,0.0011,"[0, 8, 1, 13, 3, 9, 2, 5, 4, 7, 12, 11, 15, 6, 14, 10, 0]",4535.0598
4,0.0011,"[0, 1, 9, 13, 11, 3, 2, 10, 12, 8, 5, 14, 15, 6, 7, 4, 0]",3649.3325
4,0.0011,"[0, 8, 1, 15, 12, 5, 9, 4, 10, 3, 13, 2, 14, 6, 11, 7, 0]",4503.7011
4,0.0011,"[0, 10, 8, 4, 3, 13, 15, 5, 14, 1, 6, 2, 11, 12, 7, 9, 0]",4319.704
4,0.0011,"[0, 14, 9, 1, 7, 6, 5, 15, 4, 3, 13, 2, 8, 12, 11, 10, 0]",4428.6215
4,0.0009,"[0, 1, 7, 12, 3, 10, 15, 11, 4, 6, 2, 14, 8, 5, 13, 9, 0]",4486.8375
4,0.0015,"[0, 9, 2, 3, 12, 10, 1, 13, 5, 6, 11, 8, 4, 14, 7, 15, 0]",4303.7418
4,0.001,"[0, 3, 15, 11, 14, 10, 2, 13, 7, 8, 9, 5, 12, 6, 4, 1, 0]",4053.5955
4,0.0017,"[0, 5, 15, 3, 9, 6, 8, 2, 13, 4, 12, 10, 7, 14, 1, 11, 0]",3685.4728
4,0.0017,"[0, 3, 14, 10, 9, 15, 12, 4, 1, 11, 13, 8, 5, 7, 6, 2, 0]",4908.8686
4,0.001,"[0, 12, 2, 4, 14, 15, 7, 3, 13, 6, 8, 11, 5, 10, 1, 9, 0]",3994.488
4,0.0012,"[0, 6, 10, 4, 12, 13, 3, 1, 14, 7, 5, 11, 9, 2, 8, 15, 0]",3755.9851
4,0.001,"[0, 3, 11, 1, 4, 6, 13, 9, 10, 15, 8, 7, 12, 14, 2, 5, 0]",4404.8568
4,0.001,"[0, 14, 9, 2, 4, 13, 7, 3, 5, 1, 10, 8, 15, 11, 12, 6, 0]",4238.3689
4,0.0015,"[0, 15, 11, 6, 10, 12, 8, 7, 14, 1, 2, 13, 3, 9, 4, 5, 0]",5126.2714
4,0.0015,"[0, 14, 10, 2, 6, 3, 4, 15, 9, 13, 5, 1, 12, 11, 7, 8, 0]",3843.6491
4,0.0019,"[0, 9, 11, 6, 8, 13, 7, 14, 5, 10, 15, 2, 4, 1, 3, 12, 0]",3776.6786
4,0.001,"[0, 2, 10, 9, 8, 12, 1, 6, 13, 15, 5, 4, 3, 11, 14, 7, 0]",4401.8167
4,0.0011,"[0, 1, 9, 15, 7, 10, 8, 12, 2, 14, 13, 6, 4, 11, 3, 5, 0]",4943.7127
4,0.001,"[0, 8, 5, 14, 3, 15, 1, 10, 2, 4, 6, 12, 7, 13, 11, 9, 0]",4605.2908
4,0.001,"[0, 10, 13, 12, 14, 2, 11, 5, 7, 4, 8, 3, 9, 1, 15, 6, 0]",3728.253
4,0.001,"[0, 4, 14, 9, 13, 10, 7, 2, 12, 1, 6, 5, 8, 3, 15, 11, 0]",4603.9669
4,0.001,"[0, 6, 12, 9, 7, 10, 11, 13, 1, 14, 3, 5, 2, 4, 15, 8, 0]",4240.6516
4,0.0009,"[0, 7, 6, 1, 13, 3, 5, 9, 14, 11, 12, 10, 2, 4, 15, 8, 0]",4223.9032
4,0.001,"[0, 1, 6, 3, 2, 11, 7, 5, 15, 13, 12, 14, 8, 9, 10, 4, 0]",4757.7499
4,0.001,"[0, 1, 2, 15, 9, 11, 7, 10, 4, 14, 6, 3, 13, 5, 8, 12, 0]",3421.9614
4,0.0009,"[0, 15, 6, 14, 5, 3, 7, 13, 11, 8, 2, 10, 1, 12, 4, 9, 0]",4645.9617
4,0.001,"[0, 9, 1, 7, 8, 6, 12, 13, 2, 15, 10, 11, 14, 3, 5, 4, 0]",4649.8437
4,0.001,"[0, 8, 7, 2, 13, 12, 10, 14, 11, 9, 6, 15, 1, 4, 5, 3, 0]",4509.3233
4,0.001,"[0, 4, 15, 1, 10, 3, 13, 2, 5, 11, 8, 14, 9, 12, 7, 6, 0]",3617.5439
4,0.0009,"[0, 12, 13, 6, 5, 3, 8, 14, 1, 11, 4, 10, 7, 15, 9, 2, 0]",4543.0797
4,0.0009,"[0, 1, 6, 2, 12, 3, 5, 14, 11, 15, 7, 9, 8, 10, 13, 4, 0]",4558.7812
4,0.0011,"[0, 6, 5, 2, 13, 14, 7, 10, 4, 15, 12, 8, 9, 11, 3, 1, 0]",3378.7112
4,0.0009,"[0, 4, 10, 1, 8, 11, 15, 2, 9, 7, 13, 12, 5, 14, 6, 3, 0]",4589.584
4,0.001,"[0, 14, 7, 3, 5, 8, 13, 4, 2, 6, 9, 11, 1, 12, 10, 15, 0]",4173.8976
4,0.0009,"[0, 2, 1, 13, 9, 12, 10, 7, 14, 5, 8, 15, 6, 11, 4, 3, 0]",4585.4803
4,0.0013,"[0, 3, 15, 2, 4, 12, 9, 5, 6, 7, 10, 13, 14, 1, 8, 11, 0]",3722.7038
4,0.0009,"[0, 4, 12, 15, 10, 9, 7, 8, 13, 2, 1, 6, 5, 3, 14, 11, 0]",3624.0916
4,0.0009,"[0, 3, 5, 6, 15, 12, 13, 8, 4, 1, 9, 11, 10, 7, 2, 14, 0]",4896.3545
4,0.0009,"[0, 8, 12, 14, 9, 10, 4, 6, 11, 13, 5, 3, 2, 15, 7, 1, 0]",3898.1984
4,0.001,"[0, 2, 5, 14, 4, 10, 12, 7, 3, 9, 11, 15, 1, 8, 6, 13, 0]",4706.5061
4,0.0009,"[0, 7, 12, 8, 11, 14, 5, 3, 4, 9, 1, 10, 6, 15, 2, 13, 0]",3826.3046
4,0.0014,"[0, 9, 13, 10, 4, 1, 15, 6, 14, 8, 12, 2, 5, 3, 11, 7, 0]",4721.4303
4,0.0009,"[0, 13, 9, 2, 10, 5, 4, 15, 6, 3, 7, 8, 11, 12, 14, 1, 0]",5263.8272
4,0.001,"[0, 3, 6, 7, 4, 14, 10, 13, 9, 11, 1, 5, 8, 12, 2, 15, 0]",4867.1799
4,0.0009,"[0, 3, 1, 14, 8, 13, 9, 4, 5, 15, 12, 7, 6, 10, 11, 2, 0]",3120.4662
4,0.0009,"[0, 7, 5, 14, 8, 3, 9, 2, 1, 15, 4, 11, 6, 13, 12, 10, 0]",4019.3572
4,0.0009,"[0, 13, 14, 2, 9, 6, 12, 8, 3, 4, 11, 10, 7, 1, 5, 15, 0]",4907.2868
4,0.001,"[0, 2, 5, 9, 3, 7, 13, 11, 10, 4, 14, 6, 8, 12, 1, 15, 0]",4837.3565
4,0.0009,"[0, 10, 12, 4, 1, 9, 6, 2, 11, 13, 7, 8, 14, 5, 15, 3, 0]",4172.0891
4,0.0012,"[0, 5, 15, 6, 3, 11, 8, 9, 13, 10, 14, 4, 7, 2, 1, 12, 0]",3821.9939
4,0.001,"[0, 14, 10, 12, 5, 11, 2, 9, 8, 15, 3, 1, 7, 4, 13, 6, 0]",3739.0077
4,0.001,"[0, 1, 8, 6, 5, 7, 3, 15, 10, 9, 4, 12, 11, 2, 13, 14, 0]",4598.1364
4,0.001,"[0, 8, 5, 7, 4, 15, 6, 11, 3, 9, 14, 12, 13, 2, 10, 1, 0]",4645.6224
4,0.0009,"[0, 5, 7, 8, 1, 14, 4, 3, 2, 12, 6, 15, 10, 9, 13, 11, 0]",4470.4549
4,0.0009,"[0, 12, 14, 1, 6, 7, 10, 3, 15, 2, 9, 11, 5, 8, 4, 13, 0]",3733.3945
4,0.0012,"[0, 8, 12, 10, 1, 13, 15, 9, 3, 2, 4, 14, 5, 7, 6, 11, 0]",3895.5664
4,0.001,"[0, 11, 14, 3, 5, 6, 1, 9, 13, 15, 8, 2, 12, 7, 4, 10, 0]",4983.2979
4,0.0009,"[0, 1, 7, 10, 9, 5, 15, 13, 11, 2, 6, 3, 12, 4, 14, 8, 0]",4291.7392
4,0.001,"[0, 12, 14, 6, 2, 13, 1, 15, 3, 4, 5, 9, 10, 8, 7, 11, 0]",3310.1437
4,0.0012,"[0, 9, 8, 3, 4, 5, 7, 2, 6, 15, 1, 13, 14, 11, 10, 12, 0]",4162.801
4,0.0009,"[0, 6, 4, 3, 1, 14, 12, 13, 7, 11, 2, 10, 8, 5, 15, 9, 0]",5577.1257
4,0.0011,"[0, 3, 5, 7, 11, 6, 9, 1, 13, 4, 15, 8, 10, 12, 14, 2, 0]",4974.7608
4,0.0009,"[0, 2, 5, 6, 14, 1, 10, 11, 9, 8, 4, 12, 13, 15, 3, 7, 0]",3673.4626
4,0.001,"[0, 1, 6, 5, 11, 4, 2, 15, 3, 13, 10, 14, 7, 9, 8, 12, 0]",5125.2937
4,0.0009,"[0, 7, 5, 3, 13, 2, 11, 15, 4, 1, 8, 14, 12, 6, 9, 10, 0]",3874.6125
4,0.001,"[0, 15, 14, 4, 8, 1, 9, 5, 3, 10, 13, 11, 6, 12, 2, 7, 0]",3768.3824
4,0.0012,"[0, 8, 2, 4, 11, 9, 15, 10, 6, 14, 1, 5, 13, 3, 12, 7, 0]",3549.6607
4,0.001,"[0, 2, 13, 12, 8, 4, 10, 14, 6, 1, 3, 11, 7, 5, 9, 15, 0]",4200.9868
4,0.001,"[0, 7, 5, 15, 4, 11, 2, 8, 12, 10, 14, 9, 6, 3, 1, 13, 0]",4445.9777
4,0.001,"[0, 12, 3, 11, 4, 1, 2, 14, 5, 6, 15, 9, 7, 8, 13, 10, 0]",3241.1618
4,0.0009,"[0, 1, 3, 10, 13, 7, 6, 14, 11, 9, 5, 4, 15, 2, 12, 8, 0]",4247.1973
4,0.0013,"[0, 2, 10, 9, 4, 11, 3, 15, 13, 14, 12, 7, 1, 8, 6, 5, 0]",4432.5763
4,0.001,"[0, 11, 7, 10, 3, 2, 8, 15, 14, 9, 4, 13, 6, 1, 12, 5, 0]",4367.0668
4,0.001,"[0, 11, 9, 1, 5, 12, 2, 13, 4, 3, 15, 14, 10, 8, 6, 7, 0]",3881.9522
4,0.0013,"[0, 10, 7, 1, 13, 4, 2, 15, 8, 14, 5, 12, 3, 9, 11, 6, 0]",4674.828
4,0.001,"[0, 4, 2, 15, 12, 5, 8, 11, 1, 9, 13, 14, 3, 10, 6, 7, 0]",5492.9254
4,0.0009,"[0, 6, 11, 1, 10, 7, 9, 15, 14, 13, 2, 4, 3, 8, 5, 12, 0]",4783.2052
4,0.0011,"[0, 12, 5, 7, 13, 3, 6, 4, 8, 9, 14, 2, 11, 15, 10, 1, 0]",4020.246
4,0.0009,"[0, 6, 7, 1, 8, 13, 2, 4, 12, 10, 14, 3, 15, 9, 11, 5, 0]",3920.2557
4,0.0013,"[0, 13, 5, 11, 2, 4, 8, 6, 10, 14, 12, 3, 1, 15, 9, 7, 0]",3665.9926
4,0.0011,"[0, 10, 12, 15, 1, 11, 9, 13, 14, 6, 3, 4, 5, 2, 8, 7, 0]",3837.3191
4,0.0009,"[0, 14, 11, 13, 2, 1, 15, 6, 10, 12, 8, 4, 3, 9, 5, 7, 0]",4178.9803
4,0.0009,"[0, 4, 7, 6, 15, 2, 5, 10, 3, 11, 8, 13, 1, 14, 12, 9, 0]",4217.0843
4,0.0012,"[0, 14, 10, 4, 1, 7, 11, 5, 2, 15, 6, 12, 9, 3, 8, 13, 0]",4385.9617
4,0.0009,"[0, 12, 4, 5, 10, 9, 8, 7, 11, 1, 15, 3, 14, 6, 2, 13, 0]",3515.0981
4,0.0009,"[0, 5, 9, 8, 10, 15, 4, 7, 12, 11, 3, 6, 2, 13, 1, 14, 0]",4062.5436
4,0.0011,"[0, 6, 14, 13, 8, 11, 3, 12, 4, 2, 9, 7, 1, 5, 10, 15, 0]",4286.0064
4,0.001,"[0, 13, 3, 10, 8, 1, 14, 12, 11, 7, 5, 15, 6, 2, 4, 9, 0]",4245.7163
4,0.0009,"[0, 12, 2, 5, 8, 7, 10, 3, 4, 11, 14, 15, 13, 6, 1, 9, 0]",4885.5755
4,0.0009,"[0, 4, 1, 2, 12, 9, 7, 15, 6, 3, 11, 8, 14, 5, 10, 13, 0]",4489.9243
4,0.0012,"[0, 11, 12, 14, 2, 8, 10, 15, 9, 7, 13, 6, 3, 1, 5, 4, 0]",4823.1919
4,0.001,"[0, 10, 12, 15, 5, 11, 7, 2, 1, 14, 9, 6, 3, 8, 13, 4, 0]",4859.087
4,0.001,"[0, 13, 10, 5, 2, 8, 6, 7, 4, 15, 1, 11, 9, 12, 3, 14, 0]",5300.5068
4,0.0013,"[0, 7, 1, 8, 3, 5, 4, 13, 11, 6, 12, 10, 9, 14, 15, 2, 0]",3413.0984
4,0.0009,"[0, 11, 15, 9, 7, 10, 1, 13, 5, 3, 6, 8, 14, 2, 4, 12, 0]",4316.5737
4,0.001,"[0, 2, 11, 12, 10, 4, 8, 15, 9, 5, 7, 1, 13, 6, 14, 3, 0]",4734.6488
4,0.001,"[0, 10, 8, 5, 13, 4, 2, 14, 7, 12, 9, 3, 15, 6, 11, 1, 0]",4546.3058
4,0.0009,"[0, 13, 6, 4, 9, 3, 2, 7, 5, 14, 12, 11, 8, 1, 10, 15, 0]",4302.1655
4,0.0009,"[0, 10, 4, 13, 6, 5, 7, 11, 2, 14, 12, 8, 3, 1, 9, 15, 0]",4131.1952
4,0.0012,"[0, 2, 13, 1, 7, 5, 15, 3, 6, 12, 10, 4, 8, 9, 14, 11, 0]",5391.7681
4,0.001,"[0, 9, 2, 6, 7, 14, 15, 3, 5, 4, 13, 11, 8, 12, 1, 10, 0]",3340.1874
4,0.0009,"[0, 6, 10, 4, 14, 1, 8, 9, 13, 15, 2, 5, 11, 3, 7, 12, 0]",4592.3703
4,0.0009,"[0, 2, 6, 4, 7, 8, 11, 13, 5, 12, 15, 3, 1, 14, 9, 10, 0]",4292.7604
4,0.0011,"[0, 11, 3, 2, 14, 1, 13, 6, 12, 4, 15, 8, 10, 5, 7, 9, 0]",5046.3152
4,0.001,"[0, 4, 2, 1, 12, 8, 6, 14, 13, 7, 11, 5, 3, 15, 10, 9, 0]",4245.1652
4,0.0009,"[0, 15, 5, 11, 12, 7, 1, 9, 13, 2, 6, 8, 3, 14, 4, 10, 0]",4084.7245
4,0.0013,"[0, 5, 12, 9, 13, 15, 1, 4, 11, 14, 6, 10, 2, 7, 8, 3, 0]",4203.9558
4,0.001,"[0, 4, 13, 5, 1, 9, 14, 11, 8, 12, 3, 10, 7, 6, 15, 2, 0]",3858.133
4,0.0009,"[0, 8, 9, 5, 1, 6, 11, 14, 7, 3, 4, 13, 10, 12, 15, 2, 0]",3905.8873
4,0.0011,"[0, 10, 2, 13, 14, 12, 5, 4, 7, 1, 9, 8, 15, 6, 3, 11, 0]",3910.2157
4,0.0009,"[0, 11, 10, 15, 7, 3, 4, 2, 8, 12, 13, 1, 9, 14, 5, 6, 0]",4378.1572
4,0.001,"[0, 1, 12, 3, 5, 13, 10, 11, 6, 7, 15, 4, 14, 9, 2, 8, 0]",4702.2303
4,0.001,"[0, 4, 9, 1, 13, 6, 2, 8, 12, 15, 11, 14, 10, 3, 5, 7, 0]",4040.633
4,0.0011,"[0, 15, 14, 3, 13, 10, 12, 5, 2, 9, 1, 8, 4, 11, 6, 7, 0]",4728.7298
4,0.0009,"[0, 8, 5, 10, 3, 1, 4, 2, 9, 6, 14, 13, 12, 15, 7, 11, 0]",3417.9264
4,0.001,"[0, 7, 13, 5, 3, 11, 10, 9, 4, 8, 15, 14, 2, 1, 6, 12, 0]",4640.8529
4,0.001,"[0, 3, 11, 1, 12, 4, 6, 5, 14, 2, 8, 9, 10, 13, 7, 15, 0]",4204.3092
4,0.0009,"[0, 8, 9, 15, 5, 10, 4, 14, 2, 6, 7, 3, 1, 12, 13, 11, 0]",3887.7999
4,0.0009,"[0, 2, 3, 9, 14, 13, 15, 7, 4, 5, 11, 10, 1, 8, 6, 12, 0]",5159.511
4,0.0014,"[0, 12, 15, 6, 8, 5, 14, 4, 3, 10, 13, 11, 7, 2, 9, 1, 0]",4675.6438
4,0.001,"[0, 5, 4, 8, 9, 6, 1, 13, 15, 3, 10, 12, 11, 7, 2, 14, 0]",3827.5201
4,0.0009,"[0, 12, 2, 7, 9, 11, 8, 15, 5, 10, 4, 1, 14, 3, 6, 13, 0]",4039.8952
4,0.0012,"[0, 15, 1, 13, 10, 11, 2, 7, 3, 9, 8, 14, 12, 4, 6, 5, 0]",4882.0255
4,0.001,"[0, 5, 7, 2, 9, 14, 11, 3, 12, 10, 8, 4, 6, 13, 15, 1, 0]",3127.1631
4,0.0009,"[0, 14, 1, 8, 4, 5, 2, 3, 11, 15, 10, 12, 9, 6, 7, 13, 0]",4966.11
4,0.001,"[0, 3, 5, 15, 1, 2, 6, 9, 14, 4, 7, 13, 12, 10, 11, 8, 0]",3523.6931
4,0.0012,"[0, 14, 5, 9, 3, 12, 1, 4, 7, 13, 6, 2, 15, 10, 11, 8, 0]",4886.3323
4,0.001,"[0, 9, 6, 14, 1, 12, 11, 8, 4, 2, 3, 5, 7, 10, 13, 15, 0]",4615.4624
4,0.001,"[0, 4, 9, 3, 2, 11, 1, 10, 13, 14, 7, 12, 5, 15, 8, 6, 0]",4161.0908
4,0.0009,"[0, 15, 10, 2, 4, 1, 6, 14, 5, 7, 3, 12, 11, 13, 9, 8, 0]",3712.3448
4,0.001,"[0, 6, 5, 8, 9, 4, 3, 7, 1, 15, 14, 10, 13, 12, 11, 2, 0]",4395.1304
4,0.0012,"[0, 7, 15, 14, 12, 10, 13, 4, 5, 6, 8, 1, 3, 9, 2, 11, 0]",4348.589
4,0.0011,"[0, 1, 6, 2, 10, 9, 7, 5, 8, 13, 4, 3, 14, 12, 11, 15, 0]",3915.4418
4,0.0009,"[0, 6, 1, 4, 14, 13, 3, 11, 15, 12, 2, 8, 9, 5, 7, 10, 0]",4068.7884
4,0.0009,"[0, 5, 4, 2, 7, 6, 10, 14, 9, 11, 13, 8, 3, 12, 15, 1, 0]",3473.2948
4,0.001,"[0, 13, 12, 3, 8, 2, 6, 5, 10, 1, 15, 4, 9, 14, 11, 7, 0]",3367.2556
4,0.0009,"[0, 12, 6, 2, 9, 3, 4, 13, 5, 14, 1, 10, 15, 8, 11, 7, 0]",4395.849
4,0.0009,"[0, 10, 3, 11, 13, 12, 2, 15, 9, 1, 6, 8, 14, 5, 4, 7, 0]",3693.8202
4,0.0009,"[0, 2, 12, 4, 11, 15, 1, 3, 13, 10, 14, 6, 5, 9, 7, 8, 0]",4394.5534
4,0.001,"[0, 10, 1, 8, 9, 13, 3, 4, 15, 12, 7, 6, 5, 14, 2, 11, 0]",4431.9954
4,0.0009,"[0, 6, 14, 1, 11, 10, 12, 15, 9, 8, 2, 7, 3, 4, 5, 13, 0]",3805.6491
4,0.0009,"[0, 3, 4, 9, 2, 6, 14, 5, 12, 13, 11, 1, 8, 7, 10, 15, 0]",3412.3921
4,0.001,"[0, 4, 3, 8, 1, 7, 14, 11, 15, 9, 10, 2, 5, 13, 12, 6, 0]",3602.6694
4,0.001,"[0, 9, 8, 15, 13, 2, 3, 5, 11, 10, 14, 7, 1, 4, 6, 12, 0]",4449.3862
4,0.0009,"[0, 4, 11, 12, 7, 2, 14, 6, 8, 15, 1, 13, 10, 5, 3, 9, 0]",4556.225
4,0.0009,"[0, 9, 1, 13, 3, 8, 11, 2, 10, 6, 5, 12, 4, 7, 15, 14, 0]",4352.8023
4,0.0009,"[0, 7, 1, 13, 6, 3, 12, 5, 9, 11, 10, 14, 8, 15, 4, 2, 0]",4335.9843
4,0.001,"[0, 7, 13, 2, 8, 11, 6, 12, 4, 1, 5, 15, 3, 14, 10, 9, 0]",4038.4362
4,0.0009,"[0, 8, 3, 14, 11, 5, 13, 7, 6, 10, 2, 9, 15, 4, 12, 1, 0]",4117.1205
4,0.0009,"[0, 4, 8, 14, 5, 2, 9, 12, 15, 10, 6, 7, 3, 11, 13, 1, 0]",5331.1115
4,0.0009,"[0, 15, 11, 1, 2, 3, 4, 5, 12, 8, 13, 14, 9, 6, 10, 7, 0]",3650.5381
4,0.001,"[0, 10, 3, 14, 8, 12, 15, 6, 9, 4, 2, 5, 7, 11, 13, 1, 0]",4760.5991
4,0.0009,"[0, 7, 14, 3, 11, 10, 13, 8, 1, 5, 4, 6, 12, 2, 15, 9, 0]",4178.4114
4,0.0009,"[0, 5, 11, 8, 2, 4, 14, 9, 7, 6, 10, 1, 3, 12, 15, 13, 0]",4325.6272
4,0.0009,"[0, 2, 4, 11, 12, 15, 14, 8, 10, 13, 3, 5, 1, 9, 6, 7, 0]",4534.5245
4,0.001,"[0, 6, 2, 14, 12, 15, 11, 5, 9, 8, 4, 13, 10, 1, 7, 3, 0]",4696.9785
4,0.0009,"[0, 12, 7, 2, 4, 10, 5, 6, 1, 3, 8, 13, 11, 9, 14, 15, 0]",4408.0053
4,0.0009,"[0, 2, 15, 4, 14, 12, 1, 9, 13, 11, 7, 10, 3, 8, 5, 6, 0]",4166.0119
4,0.0009,"[0, 4, 11, 2, 5, 15, 14, 12, 9, 8, 7, 13, 6, 10, 1, 3, 0]",4302.1537
4,0.001,"[0, 15, 12, 9, 3, 6, 2, 5, 8, 7, 1, 13, 11, 4, 10, 14, 0]",4080.3225
4,0.001,"[0, 3, 9, 12, 1, 14, 7, 11, 15, 8, 5, 4, 6, 13, 10, 2, 0]",3863.7709
4,0.0009,"[0, 13, 9, 4, 8, 3, 1, 2, 12, 6, 15, 11, 10, 5, 14, 7, 0]",4437.2525
4,0.0009,"[0, 10, 11, 4, 7, 15, 14, 3, 9, 13, 5, 12, 1, 6, 2, 8, 0]",4637.5253
4,0.001,"[0, 2, 8, 11, 6, 14, 15, 5, 13, 12, 3, 1, 7, 4, 10, 9, 0]",5300.4214
